A A Mamun : professor, nuclear physicist, biochemist
Adolf Beck (physiologist) : anatomist, physiologist, neurologist
Adolf Benda : autobiographer, essayist, geographer
Adolf Bernhard Marx : pianist, composer, philosopher
Adolf Bernhard Meyer : ornithologist, zoologist, naturalist
Adolf Cluss : autobiographer, short story writer, memoirist
Adolf Dymsza : autobiographer, memoirist, playwright
Adolf Ellegard Jensen : ethnologist, orientalist, philosopher
Adolf Engler : botanist, biologist, naturalist
Adolf Eugen Fick : physiologist, anatomist, physicist
Adolf Fonahn : biographer, autobiographer, astrologer
Adolf Friedrich Stenzler : orientalist, indologist, philologist
Adolf Friedrich von Schack : art historian, orientalist, autobiographer
Adolf Hurwitz : mathematician, theoretical physicist, sociologist
Adolf Jahr : silent film actress, short story writer, stage actor
Adolf Kober : theologian, art historian, orientalist
Adolf Lindenbaum : logician, mathematician, essayist
Adolf Meyer (psychiatrist) : psychologist, psychoanalyst, neuroscientist
Adolf Otto Reinhold Windaus : biochemist, physiologist, chemist
Adolf Piltz : astrologer, logician, pseudoscientist
Adolf Pinner : chemist, physiologist, physicist
Adolf Reichwein : theologian, philosopher, sociologist
Adolf Sandberger : conductor, composer, pianist
Adolf Schenck : botanist, geographer, cartographer
Adolf Schlagintweit : explorer, geographer, founder
Adolf Schulten : geographer, orientalist, art historian
Adolf Sieverts : mineralogist, inventor, pseudoscientist
Adolf Smekal : physicist, nuclear physicist, physical chemist
Adolf Soetbeer : theologian, art historian, philosopher
Adolf Stieler : cartographer, geographer, planetary scientist
Adolf Strodtmann : essayist, autobiographer, diarist
Adolf Tolkachev : autobiographer, memoirist, prime minister
Adolf Wallenberg : neurologist, pathologist, neuroscientist
Adolf Weil (physician) : pathologist, physiologist, anatomist
Adolfo Celi : film actress, film actor, stage actress
Adolfo Targioni Tozzetti : entomologist, zoologist, naturalist
Adolph Henke : pathologist, anatomist, physiologist
Adolph Jensen : statistician, sociologist, economist
Adolph Joffe : prime minister, trotskyist, trotskyism
Adolph Nehrkorn : ornithologist, zoologist, biologist
Adolph P. Yushkevich : inventor, mathematician, logician
Adolph Strauch : landscape architect, horticulturists and gardener, autobiographer
Adolph Strecker : chemist, physical chemist, inventor
Adolph Wagner : philosopher, theologian, economist
Adolph Winkler Goodman : mathematician, cognitive scientist, systems scientist
Adolphe Abrahams : medical doctor, president, biographer
Adolphe Boucard : ornithologist, zoologist, naturalist
Adolphe Delattre : ornithologist, zoologist, naturalist
Adolphe Philippe Millot : entomologist, lepidopterist, naturalist
Adolphe Quetelet : philosopher, sociologist, geographer
Adolphe Thiers : emperor, memoirist, autobiographer
Adolphe Tonduz : botanists active, botanist, mycologist
Adolphe-Simon Neboux : ornithologist, explorer, naturalist
Adolphus G. Belk Jr : memoirist, autobiographer, social sciences writer
Adolphus Heiman : autobiographer, union army general, novelist
Adolphus William Ward : biographer, diarist, autobiographer
Adolphus Ypey : anatomist, orientalist, hebraist
Adoni Maropis : fictional scientist, producer, fictional pseudoscientist
Adoniram Judson : missionary, founder, novelist
Adoor Bhasi : telugu actor, film director, film producer
Adoor Bhavani : telugu actor, film director, film actor
Adoor Pankajam : telugu actor, film director, producer
Adriaan Blaauw : astronomer, physicist, national academy
Adriaan Gilles Camper : paleontologist, geographer, anatomist
Adriaan Vlacq : geographer, pseudoscientist, astronomer
Adriaen Verwer : art historian, theologian, professor
Adrian Adonis : professional wrestler, autobiographer, memoirist
Adrian Alvarado (actor) : video game actor, essayist, autobiographer
Adrian Andrei Rusu : economic historian, folklorist, art historian
Adrian Bird : neuroscientist, physiologist, medical researcher
Adrian Desmond : pseudoscientist, paleontologist, science writer
Adrian Fortescue : biographer, autobiographer, memoirist
Adrian Furnham : autobiographer, psychologist, social sciences writer
Adrian Gilbert Scott : ecclesiastical architect, autobiographer, architect
Adrian Goldsworthy : autobiographer, novelist, biographer
Adrian Grenier : producer, autobiographer, fictional scientist
Adrian Hardy Haworth : naturalist, ecologist, lepidopterist
Adrian Hoven : silent film actor, film producer, musical theatre actor
Adrian Ioana : cognitive scientist, intellectual historian, national academy
Adrian Ludwig Richter : theologian, art historian, pianist
Adrian Parr : autobiographer, essayist, communication scholar
Adrian Raftery : systems scientist, cognitive scientist, statistician
Adrian Raine : cognitive scientist, psychologist, neuroscientist
Adrian Scarborough : radio actor, musical theatre actor, musical theatre actress
Adrian Schiller : comedian, actres, radio actor
Adrian Slywotzky : economics writer, social sciences writer, autobiographer
Adrian Smith (architect) : architect, autobiographer, founder
Adrian Smith (statistician) : statistician, systems scientist, cognitive scientist
Adrian Stephen : autobiographer, memoirist, biographer
Adrian Truss : voice actor, fictional scientist, voice actress
Adrian Turner : autobiographer, playwright, memoirist
Adrian Wewer : ecclesiastical architect, catholic bishop, theologian
Adrian Wilson (actor) : actres, television personality, short story writer
Adrian Wright : autobiographer, radio actor, playwright
Adrian Wyatt : physicist, chemist, physical chemist
Adriana Aizemberg : telenovela actress, telenovela actor, television actress
Adriana Barraza : telenovela actress, television actress, film actress
Adriana Basile : opera singer, composer, pianist
Adriana Brodsky : telenovela actress, telenovela actor, musical theatre actress
Adriana Caselotti : short story writer, actres, autobiographer
Adriana Esteves : telenovela actress, telenovela actor, soap opera actress
Adriana Ferreyr : autobiographer, telenovela actress, record producer
Adriana Hunter : novelist, memoirist, autobiographer
Adriana Lessa : telenovela actress, soap opera actress, telenovela actor
Adriana Maas : actres, musical theatre actor, stage actress
Adriana Ozores : telenovela actress, telenovela actor, television actress
Adriana Prieto : autobiographer, playwright, producer
Adriana Sage : autobiographer, producer, memoirist
Adriana Serra : film actress, opera singer, screenwriter
Adriana Vacarezza : telenovela actress, telenovela actor, television actress
Adriane Lenox : musical theatre actress, actres, musical theatre actor
Adrianna Bertola : musical theatre actress, musical theatre actor, actres
Adrianna Nicole : pornographic film actor, film actor, producer
Adrianne Allen : musical theatre actress, actres, playwright
Adrianne Curry : actres, fictional scientist, short story writer
Adrianne Frost : autobiographer, producer, short story writer
Adrianne Palicki : fictional scientist, actres, fictional pseudoscientist
Adriano Buzzati-Traverso : geneticist, pseudoscientist, short story writer
Adriano Garsia : philosopher, mathematician, cognitive scientist
Adriano Valerini : autobiographer, composer, diarist
Adrianus Turnebus : theologian, scholar, philosopher
Adrien Beard : short story writer, science writer, producer
Adrien-Marie Legendre : mathematician, intellectual historian, astronomer
Adrienne Alexander : voice actress, voice actor, producer
Adrienne Barbeau : fictional scientist, actres, producer
Adrienne Jablanczy : economist, economics writer, art historian
Adrienne Janic : actres, fictional scientist, actress
Adrienne Kroell : short story writer, radio personality, essayist
Adrienne Posta : actres, songwriter, musical theatre actress
Adrienne Wilkinson : fictional scientist, actres, producer
Adunis : autobiographer, translator, novelist
Adurthi Subba Rao : telugu actor, film director, producer
Advani Lakshmi Devi : telugu actor, autobiographer, actress
Ady Berber : film producer, actres, silent film actor
Ady Stern : theoretical physicist, physicist, inventor
Aeba Koson : novelist, short story writer, literary critic
Aegidius Tschudi : pseudoscientist, theologian, geographer
Aenesidemus : philosopher, cognitive scientist, pseudoscientist
Aesara : philosopher, pseudoscientist, scholar
Aetius (philosopher) : geographer, scholar, philosopher
Afag Bashirgyzy : actres, playwright, fictional scientist
Afanasy Fet : diarist, autobiographer, memoirist
Affion Crockett : producer, fictional scientist, musical theatre actor
Afiea Nusrat Barsha : producer, film actress, filmmaker
Afif Bahnassi : art historian, philanthropist, military historian
Afke Schaart : social sciences writer, civil servant, economics writer
African Spir : philosopher, theologian, psychologist
Afsana Mimi : dramatist, producer, film director
Afshan Azad : autobiographer, fictional pseudoscientist, fictional scientist
Aftab Hasan : orientalist, educator, indologist
Aftab Mufti : autobiographer, biographer, engineer
Aftab Sachak : autobiographer, memoirist, playwright
Aftab Shivdasani : telugu actor, film director, film actor
Afton Williamson : actres, short story writer, novelist
Afzal Ahmed Syed : translator, poet, scholar
Agallis : grammarian, philosopher, scholar
Agata Buzek : essayist, critic, novelist
Agathias : emperor, scholar, philosopher
Agathinus : emperor, philosopher, autobiographer
Agathiyan : telugu actor, film producer, comedian
Aggie Herring : actres, musical theatre actor, video game actor
Agha (actor) : film producer, film actress, film actor
Agim Qirjaqi : autobiographer, producer, memoirist
Agnaldo Rayol : telenovela actress, telenovela actor, soap opera actress
Agnar Sandmo : social sciences writer, economics writer, econometrician
Agnes Arber : physiologist, sociologist, paleontologist
Agnes Ayres : actres, autobiographer, novelist
Agnes Baltsa : opera singer, singer, conductor
Agnes Boulton : playwright, biographer, short story writer
Agnes Bruckner : fictional scientist, actres, autobiographer
Agnes Esterhazy : silent film actor, autobiographer, memoirist
Agnes Ethel : playwright, autobiographer, novelist
Agnes Giberne : short story writer, autobiographer, novelist
Agnes Ibbetson : medical doctor, antiquarian, horticulturists and gardener
Agnes J. Quirk : biochemist, geneticist, microbiologist
Agnes Mary Clerke : pseudoscientist, autobiographer, memoirist
Agnes Moorehead : actres, autobiographer, fictional scientist
Agnes Pockels : inventor, chemist, autobiographer
Agnes Rehni : film producer, silent film actor, director
Agnes Sime Baxter : autobiographer, novelist, short story writer
Agnes Steele : hispanic and latino american actress, actres, musical theatre actress
Agnes Straub : novelist, short story writer, silent film actor
